Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
30	no MS2: rac-4-Sulfoxypropranolol	460	1.055	1.737	2.243	354.10056	10207	174203	1.000	10206.88000	19.997	0.878	1.000	0.997		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	354.10172	C16H21NO6S	null	ODCKICSDIPVTRM-UHFFFAOYSA-N		530	False	True	False	0.00	0.99	0.000	0.000	0.000	-1.00	-1.00	0.330	10206.88000	354.10056:12318 355.10458:2830	null
31	Unknown	460	1.055	1.737	2.448	355.10458	2134	35964	1.000	2134.37500	9.198	0.867	1.000	0.997		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2134.37500	355.10458:2830	null
32	low score: 1H-Pyrazole-4-carboxylic acid, 3-(aminosulfonyl)-, ethyl ester	460	0.797	1.737	2.641	437.05270	103999	2347419	1.000	103998.80000	52.411	0.877	1.000	0.820		[2M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	437.05551	C6H9N3O4S	null	DRGFACPVELPILD-UHFFFAOYSA-N		530	False	True	False	0.00	0.96	0.036	0.179	0.144	5.00	0.22	0.672	103998.80000	437.05270:126716 438.05618:26938 439.05380:8292	71.01330:1170 79.95629:13054 80.96400:3896 81.95168:416 93.03339:326 95.01369:366 96.95921:2162 97.02818:8040 108.02053:1296 109.02882:2018 119.05015:382 121.02585:454 123.00779:2512 124.01547:62696 125.01977:3868 126.01827:368 135.04350:1100 137.02382:5696 138.02538:530 147.04535:8574 148.04907:962 149.06099:4906 157.06516:412 159.04597:742 161.06281:632 163.07837:542 171.04619:436 173.06245:676 175.07780:3266 176.08153:428 177.05681:810 187.04045:564 189.05675:7152 190.06078:848 191.07231:1266 192.07268:360 201.05547:842 203.97366:790 219.06541:7678 220.06882:1162 299.02127:1900 357.09671:17662 357.12967:360 358.10150:3310 359.10416:490 437.05243:97648 437.51422:316 437.53760:292 437.67642:326 437.71783:328 437.91400:300 438.05508:25956 439.05280:7586 439.27390:596 440.05783:1242
33	Unknown	460	0.797	1.737	2.693	438.05618	23136	525717	1.000	23135.50000	24.642	0.873	1.000	0.700		[2M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	23135.50000	438.05618:26938 439.05380:8292 440.05347:1374	null
34	Unknown	460	0.926	1.737	2.693	439.05380	7094	161276	1.000	7094.12500	12.894	0.889	1.000	0.820		[2M-H]-	2		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	7094.12500	439.05380:8292 440.05347:1374 441.05264:500	null
35	Unknown	460	0.926	1.737	2.741	440.05432	1323	29579	1.000	1323.12500	6.727	0.701	1.000	0.439		[2M-H]-	3		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1323.12500	440.05347:1374 441.05264:500	null
36	Unknown	460	0.926	1.737	2.792	460.09763	2101	50024	1.000	2101.25000	7.824	0.649	1.000	0.564		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2101.25000	460.09763:3010 461.09576:978	null
37	no MS2: 11,22-dimethyl (6E,17E)-3,14-dioxo-8,19-bis({[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy})-4,9,15,20-tetraoxatricyclo[16.4.0.0?,??]docosa-6,10,17,21-tetraene-11,22-dicarboxylate	472	0.968	1.786	2.741	269.10126	1069	25204	1.000	1069.00000	5.107	0.712	1.000	0.499		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	269.10306	C13H18O6	O-glycosyl compounds	GKHCBYYBLTXYEV-UJPOAAIJSA-N	OCC1OC(OCC=2C=CC=CC2)C(O)C(O)C1O	530	False	True	False	0.00	0.98	0.000	0.000	0.000	-1.00	-1.00	0.325	1069.00000	269.10126:1492 270.10538:340	null
38	low score: 5-(N-Ethyl-N-isopropyl)amiloride	472	0.871	1.786	2.890	344.11511	2767	65026	1.000	2766.50000	8.152	0.784	1.000	0.499		[M+CHO2]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	344.12433	C11H18ClN7O	null	QDERNBXNXJCIQK-UHFFFAOYSA-N		530	False	True	False	0.00	0.65	0.080	0.352	0.238	1.00	0.33	0.678	2766.50000	344.11511:3730 345.12183:710 346.11075:444	79.95654:6118 80.96380:886 96.95917:18644 98.95505:930 108.02130:802 122.03580:2434 135.04501:626 137.02327:734 140.10725:726 165.02045:2054 180.04340:3050 191.07367:680 195.06740:802 207.06696:1860 235.06006:972 250.08336:1742 262.14554:1154 264.15955:4726 265.10733:5180 266.10928:680 342.10291:2128 343.12180:2694 344.11655:7254 345.06458:5056 345.12256:1146 346.06653:928
39	low score: Rosiglitazone	472	0.771	1.786	2.693	356.11633	100157	2267974	1.000	100157.10000	51.011	0.859	1.000	0.569		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	356.10739	C18H19N3O3S	null	YASAKCUCGLMORW-UHFFFAOYSA-N		530	False	True	False	0.00	0.67	0.503	0.530	0.848	1.00	0.50	1.218	100157.10000	356.11633:125316 357.11942:21818 358.11600:7028	67.01742:396 79.95638:30862 80.96426:4824 81.95164:1606 81.96255:464 96.95894:940 108.02110:378 121.02751:780 122.03633:21914 123.04008:2034 135.04427:17090 136.04787:1148 137.02341:354 152.10883:2706 153.11191:428 154.02768:368 183.01427:568 191.07159:5606 192.07506:1104 274.14279:2522 275.14621:838 276.15927:77424 277.16226:13990 278.16452:1848 297.15097:846 354.10068:7642 355.10510:1412 356.11649:80198 357.11920:14250 358.11453:4608 359.07880:698 359.11627:700
