Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
32	no MS2: Nonanoic acid	713	2.551	2.798	3.302	157.12386	5013	112515	117.829	35.27454	5.805	0.795	1.000	0.763		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	157.12340	C9H18O2	null	FBUKVWPVBMHYJY-UHFFFAOYSA-N		530	False	True	False	0.00	1.00	0.000	0.000	0.000	-1.00	-1.00	0.333	35.27454	157.12386:6076 158.12578:330	null
33	low score: CINCHONIDINE	723	2.544	2.837	3.162	293.17340	2634	64327	95.442	25.14474	2.983	0.747	1.000	0.425		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	293.16592	C19H22N2O	Cinchona alkaloids	KMPWYEUPVWOPIM-KODHJQJWSA-N	OC(C=1C=CN=C2C=CC=CC21)C3N4CCC(C3)C(C=C)C4	530	False	True	False	0.00	0.76	0.340	0.925	0.372	3.00	0.43	1.206	25.14474	293.17340:3110 294.17737:494	205.12259:708 220.14561:1048 221.15233:1712 236.10384:1192
34	Unknown	767	2.525	3.009	3.302	143.10637	1867	47856	89.557	16.19358	2.811	0.866	0.996	0.501		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	16.19358	143.10637:1760	null
35	low score: (4-Methylphenyl)oxidanesulfonic acid	787	2.482	3.087	3.579	187.00803	1699	28100	49.882	34.06775	4.213	0.727	1.000	0.535		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	187.00710	C7H8O4S	null	WGNAKZGUSRVWRH-UHFFFAOYSA-N		530	False	True	False	0.00	1.00	0.469	0.970	0.482	1.00	0.17	1.405	34.06775	187.00803:1962	107.04822:2296
36	Unknown	840	3.080	3.295	3.545	98.94830	2998	46232	1.000	2926.75000	5.473	0.629	1.000	0.410		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2926.75000	98.94830:3036 100.94550:1220	82.95227:2172 98.94708:1512 100.94408:780
37	Unknown	1039	3.775	4.066	4.359	68.99444	4818	99357	149.106	23.48828	5.241	0.793	0.997	0.485		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	23.48828	68.99444:5658	null
38	low score: Trifluoroacetic acid	1041	3.810	4.073	4.306	112.98383	10334	258749	126.829	29.05684	3.006	0.971	1.000	0.801		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	112.98559	C2HF3O2	PFSA	DTQVDTLACAAQTR-UHFFFAOYSA-N	O=C(O)C(F)(F)F	530	False	True	False	0.00	0.98	0.707	0.938	0.578	1.00	0.50	1.591	29.05684	112.98383:10562 113.98775:386	68.99456:4088
39	Unknown	1255	4.571	4.897	5.302	242.17418	2212	36678	75.026	29.47969	4.626	0.637	1.000	0.495		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	29.47969	242.17418:1988 243.17749:438	68.99425:13824 112.98380:11382 132.99075:844 182.98885:1322 225.14867:1140 242.17404:1758
40	Unknown	1422	5.309	5.542	5.868	114.93499	1566	22117	105.074	14.90615	4.674	0.664	0.999	0.687		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	14.90615	114.93499:930 116.93099:700	68.99391:1098
41	low score: FA 18:1+3O; PlaSMA ID-741	1422	5.250	5.542	6.006	329.23022	1077	16691	49.402	21.80064	3.792	0.441	0.985	0.480		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	7.700	329.23279	C18H34O5	Oxidized fatty acids	MDIUMSLCYIJBQC-UHFFFAOYNA-N	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	530	False	True	False	0.00	0.97	0.867	0.970	0.883	1.00	0.25	1.738	21.80064	329.23022:1332 330.23358:388	329.22964:804
